method,batch,reference_cell_type,target_cell_type,n_reference_cells,n_target_cells,n_pairwise_distances,alpha_baseline,mean_relative_separation,median_relative_separation
Uncorrected_PCA,smartseq2,alpha,endothelial,500,21,10000,4.615996375803531,12.524769602049465,11.852815403129178
Uncorrected_PCA,smartseq2,alpha,gamma,500,213,10000,4.615996375803531,2.561928206751739,2.265063616025963
FastMNN,celseq,alpha,acinar,213,229,10000,0.5993548146681593,1.4189698997947688,1.4928953614547953
FastMNN,celseq,alpha,activated_stellate,213,19,4047,0.5993548146681593,1.5759172191223347,1.602338011745169
FastMNN,celseq,alpha,alpha,213,213,10000,0.5993548146681593,1.035041435352979,1
FastMNN,celseq,alpha,beta,213,161,10000,0.5993548146681593,1.2585162248140134,1.2644997873757418
FastMNN,celseq,alpha,delta,213,50,10000,0.5993548146681593,1.2285356729621963,1.2258629991242493
FastMNN,celseq,alpha,ductal,213,304,10000,0.5993548146681593,1.3817693433400595,1.4012546878292547
FastMNN,celseq,alpha,gamma,213,18,3834,0.5993548146681593,1.3316828737800552,1.3364212991808064
FastMNN,celseq2,alpha,acinar,500,274,10000,0.43679146362694243,2.00961157254003,2.0289139530498015
FastMNN,celseq2,alpha,activated_stellate,500,90,10000,0.43679146362694243,2.086446973156535,2.122073345094039
FastMNN,celseq2,alpha,alpha,500,500,10000,0.43679146362694243,1.031027006779066,1
FastMNN,celseq2,alpha,beta,500,445,10000,0.43679146362694243,1.5283721600094937,1.5353663230879038
FastMNN,celseq2,alpha,delta,500,203,10000,0.43679146362694243,1.4879661002533013,1.4896406127542123
FastMNN,celseq2,alpha,ductal,500,257,10000,0.43679146362694243,1.8280012415622844,1.838646035206764
FastMNN,celseq2,alpha,endothelial,500,21,10000,0.43679146362694243,2.0568838906290563,2.078493804407588
FastMNN,celseq2,alpha,gamma,500,110,10000,0.43679146362694243,1.5545018658103609,1.56278479093191
FastMNN,celseq2,alpha,macrophage,500,15,7500,0.43679146362694243,1.2585126314958726,1.2651381961886998
FastMNN,celseq2,alpha,quiescent_stellate,500,12,6000,0.43679146362694243,1.8395309584400719,1.8800939506592211
FastMNN,fluidigmc1,alpha,acinar,241,21,5061,0.3516283130563221,2.6054819232416087,2.624384541275342
FastMNN,fluidigmc1,alpha,activated_stellate,241,16,3856,0.3516283130563221,2.4665921211302164,2.482990646982871
FastMNN,fluidigmc1,alpha,alpha,241,241,10000,0.3516283130563221,1.0223267151159385,1
FastMNN,fluidigmc1,alpha,beta,241,258,10000,0.3516283130563221,1.6922798119255353,1.7010928417277271
FastMNN,fluidigmc1,alpha,delta,241,25,6025,0.3516283130563221,1.656383229251749,1.6580813109023733
FastMNN,fluidigmc1,alpha,ductal,241,34,8194,0.3516283130563221,1.994206431003136,2.0372683525153628
FastMNN,fluidigmc1,alpha,endothelial,241,14,3374,0.3516283130563221,2.2378925383055615,2.334651566611458
FastMNN,fluidigmc1,alpha,gamma,241,18,4338,0.3516283130563221,1.752513940815904,1.7573051047913977
FastMNN,indrop,alpha,acinar,500,500,10000,0.4681505388724195,1.8610560792916546,1.90717098261777
FastMNN,indrop,alpha,activated_stellate,500,294,10000,0.4681505388724195,1.7386424742026898,1.7771001398744728
FastMNN,indrop,alpha,alpha,500,500,10000,0.4681505388724195,1.01653816929677,1
FastMNN,indrop,alpha,beta,500,500,10000,0.4681505388724195,1.4084034634270854,1.413612895737505
FastMNN,indrop,alpha,delta,500,500,10000,0.4681505388724195,1.3425725425512454,1.3412803240039088
FastMNN,indrop,alpha,ductal,500,500,10000,0.4681505388724195,1.5623866350549336,1.5783750912532502
FastMNN,indrop,alpha,endothelial,500,235,10000,0.4681505388724195,1.7594781467052951,1.7820977499961446
FastMNN,indrop,alpha,epsilon,500,16,8000,0.4681505388724195,1.0365466669179566,1.0253175796661451
FastMNN,indrop,alpha,gamma,500,266,10000,0.4681505388724195,1.3943733913824472,1.399445789187673
FastMNN,indrop,alpha,macrophage,500,55,10000,0.4681505388724195,1.1698694620395294,1.1795753973012095
FastMNN,indrop,alpha,mast,500,39,10000,0.4681505388724195,1.0916592202255957,1.095855656006623
FastMNN,indrop,alpha,quiescent_stellate,500,160,10000,0.4681505388724195,1.423892843383224,1.4241957711371644
FastMNN,indrop,alpha,schwann,500,13,6500,0.4681505388724195,1.2303843173970765,1.230256171429756
FastMNN,smartseq2,alpha,acinar,500,188,10000,0.4262088883390147,2.1447679830563366,2.1779042119046528
FastMNN,smartseq2,alpha,activated_stellate,500,55,10000,0.4262088883390147,2.1322850431754268,2.15020070246876
FastMNN,smartseq2,alpha,alpha,500,500,10000,0.4262088883390147,1.02928256302263,1
FastMNN,smartseq2,alpha,beta,500,308,10000,0.4262088883390147,1.6353892686173972,1.6472577681293672
FastMNN,smartseq2,alpha,delta,500,127,10000,0.4262088883390147,1.5509262709115545,1.551850566716754
FastMNN,smartseq2,alpha,ductal,500,444,10000,0.4262088883390147,1.8924761121652383,1.9109046760277633
FastMNN,smartseq2,alpha,endothelial,500,21,10000,0.4262088883390147,2.1804502317558336,2.1874800632951605
FastMNN,smartseq2,alpha,gamma,500,213,10000,0.4262088883390147,1.5808046093173034,1.5905422664665307
MNN,celseq,alpha,acinar,213,229,10000,0.6240706457862688,1.386456871243879,1.470257476851345
MNN,celseq,alpha,activated_stellate,213,19,4047,0.6240706457862688,1.5734427438390408,1.6027775195177412
MNN,celseq,alpha,alpha,213,213,10000,0.6240706457862688,1.0280315908585285,1
MNN,celseq,alpha,beta,213,161,10000,0.6240706457862688,1.246257573957753,1.2513257890114082
MNN,celseq,alpha,delta,213,50,10000,0.6240706457862688,1.3070498441276046,1.308372955056995
MNN,celseq,alpha,ductal,213,304,10000,0.6240706457862688,1.352630381778428,1.375320255629406
MNN,celseq,alpha,gamma,213,18,3834,0.6240706457862688,1.3279415058939104,1.3317936705786977
MNN,celseq2,alpha,acinar,500,274,10000,0.464617593857502,1.9571783000274938,1.9694484569982804
MNN,celseq2,alpha,activated_stellate,500,90,10000,0.464617593857502,2.0150791963863766,2.047000537540426
MNN,celseq2,alpha,alpha,500,500,10000,0.464617593857502,1.0333757725914923,1
MNN,celseq2,alpha,beta,500,445,10000,0.464617593857502,1.5106972533072593,1.5079870104794648
MNN,celseq2,alpha,delta,500,203,10000,0.464617593857502,1.6115640323190468,1.6049599211935877
MNN,celseq2,alpha,ductal,500,257,10000,0.464617593857502,1.771816987954818,1.77824387083189
MNN,celseq2,alpha,endothelial,500,21,10000,0.464617593857502,2.101953347074735,2.1104344119782525
MNN,celseq2,alpha,gamma,500,110,10000,0.464617593857502,1.5654639601454508,1.5671217354218494
MNN,celseq2,alpha,macrophage,500,15,7500,0.464617593857502,1.9022559394162697,1.9086615121471575
MNN,celseq2,alpha,quiescent_stellate,500,12,6000,0.464617593857502,1.8676235512704396,1.9176249871857034
MNN,fluidigmc1,alpha,acinar,241,21,5061,0.32559690202468544,2.945725809977976,2.9525722598738344
MNN,fluidigmc1,alpha,activated_stellate,241,16,3856,0.32559690202468544,2.9012558199974854,2.915517456431052
MNN,fluidigmc1,alpha,alpha,241,241,10000,0.32559690202468544,1.019555678727544,1
MNN,fluidigmc1,alpha,beta,241,258,10000,0.32559690202468544,1.9576193378378168,1.9834858233121606
MNN,fluidigmc1,alpha,delta,241,25,6025,0.32559690202468544,2.0831636895735386,2.1052103782526306
MNN,fluidigmc1,alpha,ductal,241,34,8194,0.32559690202468544,2.4014518924244084,2.464133116938079
MNN,fluidigmc1,alpha,endothelial,241,14,3374,0.32559690202468544,2.930931799586291,3.0208083787313886
MNN,fluidigmc1,alpha,gamma,241,18,4338,0.32559690202468544,2.063576124906917,2.06858922993407
MNN,indrop,alpha,acinar,500,500,10000,0.5252884750189093,1.7192593206513052,1.754442910110276
MNN,indrop,alpha,activated_stellate,500,294,10000,0.5252884750189093,1.6759205680589697,1.6953086147263985
MNN,indrop,alpha,alpha,500,500,10000,0.5252884750189093,1.0168745250646387,1
MNN,indrop,alpha,beta,500,500,10000,0.5252884750189093,1.4000944484650233,1.4025111380385398
MNN,indrop,alpha,delta,500,500,10000,0.5252884750189093,1.4470245494567013,1.4430693496188116
MNN,indrop,alpha,ductal,500,500,10000,0.5252884750189093,1.4895885957519888,1.4981817955758503
MNN,indrop,alpha,endothelial,500,235,10000,0.5252884750189093,1.7645996603726284,1.7783250391701646
MNN,indrop,alpha,epsilon,500,16,8000,0.5252884750189093,1.3997205959131855,1.407157088004957
MNN,indrop,alpha,gamma,500,266,10000,0.5252884750189093,1.3874786349886237,1.39223682786267
MNN,indrop,alpha,macrophage,500,55,10000,0.5252884750189093,1.6311693799211333,1.6429237570104962
MNN,indrop,alpha,mast,500,39,10000,0.5252884750189093,1.3782980839705048,1.4406993518950677
MNN,indrop,alpha,quiescent_stellate,500,160,10000,0.5252884750189093,1.5124407834021931,1.5241233803835512
MNN,indrop,alpha,schwann,500,13,6500,0.5252884750189093,1.3599938488730743,1.3610119657079314
MNN,smartseq2,alpha,acinar,500,188,10000,0.44136852045812214,2.063569365359252,2.084619640575961
MNN,smartseq2,alpha,activated_stellate,500,55,10000,0.44136852045812214,2.077805373514887,2.094846329898294
MNN,smartseq2,alpha,alpha,500,500,10000,0.44136852045812214,1.0215963167616229,1
MNN,smartseq2,alpha,beta,500,308,10000,0.44136852045812214,1.511124924726391,1.5172285800244387
MNN,smartseq2,alpha,delta,500,127,10000,0.44136852045812214,1.532238379127378,1.5408708296766076
MNN,smartseq2,alpha,ductal,500,444,10000,0.44136852045812214,1.8060031765457558,1.8225282163912278
MNN,smartseq2,alpha,endothelial,500,21,10000,0.44136852045812214,2.1830860465195343,2.194022801391294
MNN,smartseq2,alpha,gamma,500,213,10000,0.44136852045812214,1.4805769164331266,1.4858912563965332
Seurat_CCA,celseq,alpha,acinar,213,229,10000,7.674910742504261,4.274093340665936,4.003237321112573
Seurat_CCA,celseq,alpha,activated_stellate,213,19,4047,7.674910742504261,7.924151714416126,8.094363734803064
Seurat_CCA,celseq,alpha,alpha,213,213,10000,7.674910742504261,2.2192935358559507,1
Seurat_CCA,celseq,alpha,beta,213,161,10000,7.674910742504261,2.713446773207234,2.1982373120609147
Seurat_CCA,celseq,alpha,delta,213,50,10000,7.674910742504261,2.757669681966031,2.235391062445303
Seurat_CCA,celseq,alpha,ductal,213,304,10000,7.674910742504261,5.285204725811792,5.088527175098776
Seurat_CCA,celseq,alpha,gamma,213,18,3834,7.674910742504261,2.7579591510356254,2.2603736325746024
Seurat_CCA,celseq2,alpha,acinar,500,274,10000,5.796310869359346,5.491820270285816,5.293017237399624
Seurat_CCA,celseq2,alpha,activated_stellate,500,90,10000,5.796310869359346,10.264118744069057,10.344708215564285
Seurat_CCA,celseq2,alpha,alpha,500,500,10000,5.796310869359346,1.4580705397909526,1
Seurat_CCA,celseq2,alpha,beta,500,445,10000,5.796310869359346,2.928969753327182,2.784698038080592
Seurat_CCA,celseq2,alpha,delta,500,203,10000,5.796310869359346,2.9612793384368543,2.8204339279314605
Seurat_CCA,celseq2,alpha,ductal,500,257,10000,5.796310869359346,6.819234839815381,6.675672301049856
