method,batch_1,batch_2,batch_pair,cell_type,n_cells_batch_1,n_cells_batch_2,n_cross_distances,n_within_distances_batch_1,n_within_distances_batch_2,median_cross_batch_distance,within_baseline,R_tech,tech_deviation
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,activated_stellate,90,16,1440,4005,120,0.11095987695064004,0.15379875754310787,0.7214614651196994,0.3264763115920501
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,alpha,500,241,10000,10000,10000,0.4105816811413575,0.39191640163372965,1.0476256656517062,0.04652633282793166
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,beta,445,258,10000,10000,10000,0.38742632368275176,0.36365571220532256,1.065365703547668,0.06331812383156238
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,delta,203,25,5075,10000,300,0.2499484286429294,0.3092584374146725,0.8082186236612952,0.21292268322130448
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,ductal,257,34,8738,10000,561,0.3430507121009636,0.34832765696988144,0.9848506291035796,0.015265294889523988
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,endothelial,21,14,294,210,91,0.03142417552775557,0.03702048189658344,0.8488321577103958,0.16389380631331765
MNN,celseq2,fluidigmc1,celseq2 vs fluidigmc1,gamma,110,18,1980,5995,153,0.2589028537711774,0.34347198305709536,0.7537815791168619,0.2826526358092514
MNN,celseq2,indrop,celseq2 vs indrop,acinar,274,500,10000,10000,10000,0.3847276378645763,0.2830139068422957,1.359394816166962,0.3070396125988414
MNN,celseq2,indrop,celseq2 vs indrop,activated_stellate,90,294,10000,4005,10000,0.2523413081003665,0.2646705147735686,0.9534167729875387,0.047703143553557335
MNN,celseq2,indrop,celseq2 vs indrop,alpha,500,500,10000,10000,10000,0.5412785123609732,0.5054699685101645,1.070842079810106,0.06844532943592348
MNN,celseq2,indrop,celseq2 vs indrop,beta,445,500,10000,10000,10000,0.4879106733469619,0.46311849307563824,1.0535331251979922,0.05214939676540559
MNN,celseq2,indrop,celseq2 vs indrop,delta,203,500,10000,10000,10000,0.3541931129501695,0.34449309113359206,1.0281573769292687,0.027768245713955485
MNN,celseq2,indrop,celseq2 vs indrop,ductal,257,500,10000,10000,10000,0.40715636329258836,0.3781640959025909,1.0766658382012697,0.07386907909365452
MNN,celseq2,indrop,celseq2 vs indrop,endothelial,21,235,4935,210,10000,0.21165323415199938,0.2739523530699623,0.7725914078859805,0.25800494984987393
MNN,celseq2,indrop,celseq2 vs indrop,gamma,110,266,10000,5995,10000,0.3811711410077735,0.3754845359281287,1.0151447117937589,0.015031175526980049
MNN,celseq2,indrop,celseq2 vs indrop,macrophage,15,55,825,105,1485,0.20807862916986558,0.20639088277640066,1.0081774270779849,0.0081441730862355
MNN,celseq2,indrop,celseq2 vs indrop,quiescent_stellate,12,160,1920,66,10000,0.45469032840822343,0.4193031339721202,1.0843952538605546,0.08102246189040756
MNN,celseq2,smartseq2,celseq2 vs smartseq2,acinar,274,188,10000,10000,10000,0.3137771693200362,0.2989978840094437,1.0494293976679971,0.048246585665018674
MNN,celseq2,smartseq2,celseq2 vs smartseq2,activated_stellate,90,55,4950,4005,1485,0.14063480294380892,0.14646274103936266,0.9602087325814321,0.040604588382357115
MNN,celseq2,smartseq2,celseq2 vs smartseq2,alpha,500,500,10000,10000,10000,0.47998793837920073,0.45611847896522245,1.052331708787879,0.05100837715097425
MNN,celseq2,smartseq2,celseq2 vs smartseq2,beta,445,308,10000,10000,10000,0.4479588585895291,0.4079386426062125,1.098103518038002,0.09358461736651427
MNN,celseq2,smartseq2,celseq2 vs smartseq2,delta,203,127,10000,10000,8001,0.30950416540354186,0.29436795060176657,1.0514193707937052,0.050141033043371794
MNN,celseq2,smartseq2,celseq2 vs smartseq2,ductal,257,444,10000,10000,10000,0.33749613453992944,0.33005866175548504,1.0225337906446286,0.022283655473988185
MNN,celseq2,smartseq2,celseq2 vs smartseq2,endothelial,21,21,441,210,210,0.03453077642178756,0.031448525369064,1.0980093984233543,0.09349890263481726
MNN,celseq2,smartseq2,celseq2 vs smartseq2,gamma,110,213,10000,5995,10000,0.3420036851984366,0.3142866252552857,1.08819038965033,0.08451612361213713
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,acinar,21,500,10000,210,10000,0.2809855651667786,0.2953500277656255,0.9513646140224986,0.04985788926142431
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,activated_stellate,16,294,4704,120,10000,0.21570765746047543,0.31426117875694776,0.6863961317579909,0.37630036637497694
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,alpha,241,500,10000,10000,10000,0.48794615372737365,0.43090592298272745,1.1323728166691565,0.12431526890668704
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,beta,258,500,10000,10000,10000,0.4326265920268774,0.3916848391649218,1.1045272851235297,0.09941744717048832
MNN,fluidigmc1,indrop,fluidigmc1 vs indrop,delta,25,500,10000,300,10000,0.3097574602362817,0.3798543471736068,0.8154637758949003,0.20399827741113832
